IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;Provincia;Comune;DataStart;location
12570;Particelle sospese PM2.5;µg/m³;561;Como v.Cattaneo;202;CO;Como;23/09/2011;(45.81504286011291, 9.06697137484454)
17163;Benzene;µg/m³;655;Darfo Boario Terme v. De Amicis;221;BS;Darfo Boario Terme;05/10/2012;(45.87460210989037, 10.17735680898138)
9983;Particelle sospese PM2.5;µg/m³;672;Cornale v.Libertà;74;PV;Cornale;02/02/2006;(45.04007657202963, 8.914144599002409)
6685;Biossido di Azoto;µg/m³;642;Pavia v. Folperti;77;PV;Pavia;01/06/2002;(45.19467609907785, 9.164638300630086)
9918;Ossidi di Azoto;µg/m³;664;Mantova p.zza Gramsci;18;MN;Mantova;08/06/2004;(45.151743379576594, 10.78140770009565)
20495;Biossido di Azoto;µg/m³;1801;Brescia v.Tartaglia;151;BS;Brescia;;(45.542647891822845, 10.211205215118259)
10072;PM10 (SM2005);µg/m³;693;Sannazzaro de' Burgondi v.Traversi;85;PV;Sannazzaro de' Burgondi;01/01/2007;(45.10276627684137, 8.90417452771467)
6208;Ossidi di Azoto;µg/m³;595;Filago v.Don Milani;190;BG;Filago;06/03/1992;(45.63386450908066, 9.556084255790864)
6005;Benzene;µg/m³;627;Cremona P.zza Cadorna;39;CR;Cremona;16/05/2002;(45.13194691285173, 10.015741513336042)
6252;Ossidi di Azoto;µg/m³;576;Merate v. Madonna di Loreto;279;LC;Merate;01/01/1991;(45.69795198970243, 9.406190938686596)
9925;Ozono;µg/m³;677;Cremona Via Fatebenefratelli;43;CR;Cremona;08/04/2006;(45.14254063221695, 10.043836158369393)
10283;Particelle sospese PM2.5;µg/m³;705;Milano Pascal Città Studi;122;MI;Milano;29/03/2007;(45.47899606168744, 9.235491038497502)
6412;Ossidi di Azoto;µg/m³;627;Cremona P.zza Cadorna;39;CR;Cremona;01/01/2002;(45.13194691285173, 10.015741513336042)
10166;Benzene;µg/m³;703;Schivenoglia v. Malpasso;NULL;MN;Schivenoglia;29/11/2006;(45.016877820755425, 11.07609463264049)
9999;Biossido di Azoto;µg/m³;683;Cassano d'Adda 2-v.Milano;133;MI;Cassano d'Adda;17/02/2006;(45.52647254585104, 9.515980483627096)
10133;Monossido di Carbonio;mg/m³;700;Melara v. dell'Artigianato;12;RO;Melara;28/11/2006;(45.063214361613305, 11.20921074969938)
10083;PM10 (SM2005);µg/m³;695;Ponti sul Mincio v.San Martino;113;MN;Ponti sul Mincio;20/12/2006;(45.41277169168634, 10.683357343786835)
5534;Biossido di Azoto;µg/m³;531;Pioltello Limito;114;MI;Pioltello;23/05/1989;(45.48363035323249, 9.327360033215145)
10025;Ozono;µg/m³;685;Calusco d'Adda v. Caduti sul Lavoro;273;BG;Calusco d'Adda;30/06/2006;(45.69042907854514, 9.484260927647789)
5658;Biossido di Zolfo;µg/m³;552;Varese v.Vidoletti;425;VA;Varese;23/12/1991;(45.83690077655548, 8.80392612667495)
5576;Biossido di Azoto;µg/m³;573;Colico v.La Madoneta;229;LC;Colico;05/11/1996;(46.1381409051264, 9.384687247651794)
9928;Biossido di Azoto;µg/m³;677;Cremona Via Fatebenefratelli;43;CR;Cremona;11/04/2006;(45.14254063221695, 10.043836158369393)
6330;Ossidi di Azoto;µg/m³;542;Meda v. Gagarin;222;MB;Meda;01/11/1995;(45.66176219189168, 9.156643984551597)
12617;Benzo(a)pirene;ng/m³;670;Mantova S.Agnese;22;MN;Mantova;19/02/2008;(45.16056833010576, 10.79556411370788)
20489;Ossidi di Azoto;µg/m³;1800;Brescia S.Polo;124;BS;Brescia;;(45.5086667998462, 10.256370247433845)
6782;Monossido di Carbonio;mg/m³;652;Brescia v.Turati;154;BS;Brescia;12/01/1999;(45.539529434955995, 10.231785907477223)
9861;Ozono;µg/m³;673;Voghera v.Pozzoni;90;PV;Voghera;05/07/2005;(44.99954598914026, 9.008437381815693)
10456;Particelle sospese PM2.5;µg/m³;1265;Lodi S.Alberto;76;LO;Lodi;03/08/2009;(45.302783503095775, 9.495273696926324)
5742;Ozono;µg/m³;572;Morbegno v.Cortivacci;262;SO;Morbegno;24/05/2003;(46.132282960003735, 9.566179893984474)
9969;Biossido di Azoto;µg/m³;679;Valmadrera v.Pozzi;247;LC;Valmadrera;15/02/2006;(45.842207261022544, 9.351658166127958)
12629;Benzo(a)pirene;ng/m³;705;Milano Pascal Città Studi;122;MI;Milano;02/04/2008;(45.47899606168744, 9.235491038497502)
9831;PM10 (SM2005);µg/m³;670;Mantova S.Agnese;22;MN;Mantova;30/12/2004;(45.16056833010576, 10.79556411370788)
9739;PM10 (SM2005);µg/m³;608;Codogno v.Trento;59;LO;Codogno;09/04/2005;(45.15937280234111, 9.69814824935254)
12623;Benzo(a)pirene;ng/m³;542;Meda v. Gagarin;222;MB;Meda;18/04/2008;(45.66176219189168, 9.156643984551597)
9857;Biossido di Azoto;µg/m³;673;Voghera v.Pozzoni;90;PV;Voghera;28/07/2005;(44.99954598914026, 9.008437381815693)
5710;Ozono;µg/m³;544;Cormano v. Edison;153;MI;Cormano;03/11/1994;(45.551041944372415, 9.162613653151322)
6869;Benzene;µg/m³;642;Pavia v. Folperti;77;PV;Pavia;06/06/2002;(45.19467609907785, 9.164638300630086)
30162;Ossidi di Azoto;µg/m³;669;Brescia Villaggio Sereno;70;BS;Brescia;22/01/2013;(45.513038818653754, 10.19194188877931)
9897;Biossido di Azoto;µg/m³;609;Casirate d'Adda v. Cimitero;108;BG;Casirate d'Adda;10/11/2005;(45.49822713394494, 9.556232262351761)
10017;Ossidi di Azoto;µg/m³;685;Calusco d'Adda v. Caduti sul Lavoro;273;BG;Calusco d'Adda;30/06/2006;(45.69042907854514, 9.484260927647789)
10043;PM10 (SM2005);µg/m³;687;Ferno v.Di Dio;215;VA;Ferno;29/11/2006;(45.61924377994763, 8.756970445453431)
10451;Ossidi di Azoto;µg/m³;1265;Lodi S.Alberto;76;LO;Lodi;03/08/2009;(45.302783503095775, 9.495273696926324)
6817;Ossidi di Azoto;µg/m³;656;Gambara v.Parma;47;BS;Gambara;01/01/1990;(45.24954362474624, 10.299119496064078)
10103;PM10 (SM2005);µg/m³;697;Borgofranco sul Po loc. Bonizzo;14;MN;Borgofranco sul Po;01/01/2007;(45.04650153816735, 11.18093581912755)
10301;Benzene;µg/m³;574;Lecco v. Amendola;214;LC;Lecco;07/11/2006;(45.850191194578535, 9.395577066893223)
20032;Ossidi di Azoto;µg/m³;693;Sannazzaro de' Burgondi v.Traversi;85;PV;Sannazzaro de' Burgondi;24/10/2013;(45.10276627684137, 8.90417452771467)
10384;Benzene;µg/m³;693;Sannazzaro de' Burgondi v.Traversi;85;PV;Sannazzaro de' Burgondi;01/01/2007;(45.10276627684137, 8.90417452771467)
6826;Biossido di Azoto;µg/m³;657;Lonato del Garda v.del Marchesino;180;BS;Lonato del Garda;16/02/1990;(45.463753136210265, 10.480772043571283)
5810;Monossido di Carbonio;mg/m³;602;Melegnano v.Predabissi;83;MI;Melegnano;13/01/2000;(45.35428575070997, 9.329243424113708)
6428;Ossidi di Azoto;µg/m³;633;Soresina v. Landriani;70;CR;Soresina;01/01/2002;(45.28397715446764, 9.863398419993635)
6280;Ossidi di Azoto;µg/m³;604;Tavazzano con Villavesco v.Cascina Bagnolo;85;LO;Tavazzano con Villavesco;13/01/2000;(45.33036100181227, 9.414644726627262)
5591;Biossido di Azoto;µg/m³;588;Tavernola Bergamasca v.Riva di Sotto;191;BG;Tavernola Bergamasca;21/09/1990;(45.71629992411727, 10.044765999368437)
9854;Monossido di Carbonio;mg/m³;672;Cornale v.Libertà;74;PV;Cornale;29/07/2005;(45.04007657202963, 8.914144599002409)
6587;Biossido di Zolfo;µg/m³;574;Lecco v. Amendola;214;LC;Lecco;17/02/1991;(45.850191194578535, 9.395577066893223)
6798;Biossido di Azoto;µg/m³;654;Sarezzo v.Minelli;269;BS;Sarezzo;18/02/1990;(45.64962671224069, 10.205090218837002)
5568;Biossido di Azoto;µg/m³;565;Cantù v.Meucci;369;CO;Cantù;15/02/1994;(45.73083672267427, 9.125734327022926)
20428;PM10 (SM2005);µg/m³;683;Cassano d'Adda 2-v.Milano;133;MI;Cassano d'Adda;19/12/2017;(45.52647254585104, 9.515980483627096)
17127;Benzene;µg/m³;501;Milano v.Marche;129;MI;Milano;13/09/2012;(45.49631644365102, 9.190933555313624)
