IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;DataStart;lat;lng
10384;Benzene;æg/mü;693;Sannazzaro de' Burgondi v.Traversi;85;01/01/2007;4510276627684140,00;890417452771467,00
6826;Biossido di Azoto;æg/mü;657;Lonato del Garda v.del Marchesino;180;16/02/1990;45463753136210300,00;10480772043571300,00
5810;Monossido di Carbonio;mg/mü;602;Melegnano v.Predabissi;83;13/01/2000;4535428575071000,00;9329243424113710,00
6428;Ossidi di Azoto;æg/mü;633;Soresina v. Landriani;70;01/01/2002;4528397715446760,00;9863398419993640,00
6280;Ossidi di Azoto;æg/mü;604;Tavazzano con Villavesco v.Cascina Bagnolo;85;13/01/2000;4533036100181230,00;9414644726627260,00
5591;Biossido di Azoto;æg/mü;588;Tavernola Bergamasca v.Riva di Sotto;191;21/09/1990;4571629992411730,00;10044765999368400,00
9854;Monossido di Carbonio;mg/mü;672;Cornale v.Libert…;74;29/07/2005;4504007657202960,00;8914144599002410,00
6587;Biossido di Zolfo;æg/mü;574;Lecco v. Amendola;214;17/02/1991;45850191194578500,00;9395577066893220,00
6798;Biossido di Azoto;æg/mü;654;Sarezzo v.Minelli;269;18/02/1990;4564962671224070,00;10205090218837000,00
5568;Biossido di Azoto;æg/mü;565;Cant— v.Meucci;369;15/02/1994;4573083672267430,00;9125734327022930,00
20428;PM10 (SM2005);æg/mü;683;Cassano d'Adda 2-v.Milano;133;19/12/2017;4552647254585100,00;9515980483627100,00
17127;Benzene;æg/mü;501;Milano v.Marche;129;13/09/2012;4549631644365100,00;9190933555313620,00
17297;Ozono;æg/mü;583;Bergamo v.Meucci;249;24/01/2013;4569103740547210,00;9643650579461380,00
12020;Ozono;æg/mü;1297;Spinadesco v.Battisti;48;04/02/2011;45150468869856800,00;9930596472272330,00
5520;Biossido di Azoto;æg/mü;517;Turbigo vicolo dello sport;141;11/01/1990;4552655086994250,00;8736496578379210,00
9985;Particelle sospese PM2.5;æg/mü;600;Lodi v.Vignati;80;10/07/2006;4530601298752380,00;948526286320174,00
10285;Ossidi di Azoto;æg/mü;706;Lecco v.Sora;272;28/06/2007;4586374884127960,00;9399950344681850,00
9856;Ozono;æg/mü;672;Cornale v.Libert…;74;29/07/2005;4504007657202960,00;8914144599002410,00
12641;Benzo(a)pirene;ng/mü;548;Milano v.Senato;118;10/07/2008;45470499014097,00;9197460360112530,00
20455;BlackCarbon;æg/mü;501;Milano v.Marche;129;25/11/2020;4549631644365100,00;9190933555313620,00
20528;Particelle sospese PM2.5;æg/mü;708;Parona v. della Miseria;112;01/06/2021;45281935610357900,00;8754334594539820,00
6400;Ossidi di Azoto;æg/mü;560;Varese v.Copelli;383;07/08/2003;45816973233263700,00;8820240707158210,00
12600;Benzo(a)pirene;ng/mü;609;Casirate d'Adda v. Cimitero;108;24/04/2008;4549822713394490,00;9556232262351760,00
6919;PM10 (SM2005);æg/mü;561;Como v.Cattaneo;202;04/01/2000;4581504286011290,00;906697137484454,00
6917;PM10 (SM2005);æg/mü;558;Busto Arsizio  Accam;206;20/01/1999;45582894292717700,00;8842165456706070,00
10282;Ozono;æg/mü;705;Milano Pascal Citt… Studi;122;16/06/2007;4547899606168740,00;9235491038497500,00
6831;Ossidi di Azoto;æg/mü;657;Lonato del Garda v.del Marchesino;180;01/01/1990;45463753136210300,00;10480772043571300,00
6962;PM10 (SM2005);æg/mü;595;Filago v.Don Milani;190;14/10/2004;4563386450908070,00;9556084255790860,00
5826;Monossido di Carbonio;mg/mü;546;Magenta v. F. Turati;137;22/04/1995;45462415791106600,00;8880210433125570,00
5693;Biossido di Zolfo;æg/mü;600;Lodi v.Vignati;80;30/12/1999;4530601298752380,00;948526286320174,00
6326;Ossidi di Azoto;æg/mü;546;Magenta v. F. Turati;137;22/04/1995;45462415791106600,00;8880210433125570,00
10449;Particelle sospese PM2.5;æg/mü;560;Varese v.Copelli;383;01/09/2009;45816973233263700,00;8820240707158210,00
5698;Biossido di Zolfo;æg/mü;604;Tavazzano con Villavesco v.Cascina Bagnolo;85;13/01/2000;4533036100181230,00;9414644726627260,00
6346;Ossidi di Azoto;æg/mü;514;Rho via Buon Ges—;152;03/10/1991;45523425662003500,00;9044599871111000,00
5704;Biossido di Zolfo;æg/mü;569;Sondrio v.Mazzini;307;01/11/1993;4616796681227830,00;987014407497457,00
9855;Ossidi di Azoto;æg/mü;672;Cornale v.Libert…;74;29/07/2005;4504007657202960,00;8914144599002410,00
5814;Monossido di Carbonio;mg/mü;551;Arconate v. De Gasperi;182;20/01/1999;4554851735741950,00;8847321929216260,00
6690;Ossidi di Azoto;æg/mü;642;Pavia v. Folperti;77;01/06/2002;4519467609907780,00;9164638300630090,00
9971;Monossido di Carbonio;mg/mü;679;Valmadrera v.Pozzi;247;16/02/2006;45842207261022500,00;9351658166127960,00
10454;Ozono;æg/mü;1265;Lodi S.Alberto;76;03/08/2009;45302783503095800,00;9495273696926320,00
10070;Biossido di Zolfo;æg/mü;693;Sannazzaro de' Burgondi v.Traversi;85;01/01/2007;4510276627684140,00;890417452771467,00
5563;Biossido di Azoto;æg/mü;560;Varese v.Copelli;383;07/08/2003;45816973233263700,00;8820240707158210,00
9833;Benzene;æg/mü;664;Mantova p.zza Gramsci;18;16/05/2005;45151743379576600,00;1078140770009560,00
12028;PM10 (SM2005);æg/mü;642;Pavia v. Folperti;77;04/02/2011;4519467609907780,00;9164638300630090,00
20492;Particelle sospese PM2.5;æg/mü;1800;Brescia S.Polo;124;;455086667998462,00;10256370247433800,00
5646;Biossido di Zolfo;æg/mü;517;Turbigo vicolo dello sport;141;08/03/1982;4552655086994250,00;8736496578379210,00
6411;Monossido di Carbonio;mg/mü;627;Cremona P.zza Cadorna;39;12/12/1997;4513194691285170,00;10015741513336000,00
5545;Biossido di Azoto;æg/mü;542;Meda v. Gagarin;222;01/11/1995;4566176219189170,00;9156643984551600,00
12665;Benzo(a)pirene;ng/mü;681;Moggio Loc. Penscei;1194;15/06/2008;4591278752030290,00;9497538167653420,00
20490;Monossido di Azoto;æg/mü;1800;Brescia S.Polo;124;;455086667998462,00;10256370247433800,00
10278;Ossidi di Azoto;æg/mü;705;Milano Pascal Citt… Studi;122;16/06/2007;4547899606168740,00;9235491038497500,00
6952;PM10 (SM2005);æg/mü;654;Sarezzo v.Minelli;269;23/06/2000;4564962671224070,00;10205090218837000,00
5707;Ozono;æg/mü;551;Arconate v. De Gasperi;182;20/01/1999;4554851735741950,00;8847321929216260,00
10002;Monossido di Carbonio;mg/mü;683;Cassano d'Adda 2-v.Milano;133;22/04/2006;4552647254585100,00;9515980483627100,00
6879;Monossido di Carbonio;mg/mü;664;Mantova p.zza Gramsci;18;11/06/2004;45151743379576600,00;1078140770009560,00
6366;Ossidi di Azoto;æg/mü;528;Milano Verziere;116;24/11/1988;45463346740666500,00;9195324807668860,00
6248;Ossidi di Azoto;æg/mü;574;Lecco v. Amendola;214;01/01/1991;45850191194578500,00;9395577066893220,00
5532;Biossido di Azoto;æg/mü;529;Cinisello Balsamo v.Lincoln;149;24/11/1988;4555232578741210,00;9227764233272630,00
10129;Ossidi di Azoto;æg/mü;700;Melara v. dell'Artigianato;12;29/11/2006;45063214361613300,00;1120921074969940,00
12694;Benzo(a)pirene;ng/mü;560;Varese v.Copelli;383;02/04/2008;45816973233263700,00;8820240707158210,00
20496;PM10 (SM2005);æg/mü;1801;Brescia v.Tartaglia;151;;45542647891822800,00;10211205215118300,00
6320;Ossidi di Azoto;æg/mü;539;Milano v.Liguria;115;24/10/1991;45443857653564900,00;9167944501742680,00
6686;Biossido di Zolfo;æg/mü;642;Pavia v. Folperti;77;01/06/2002;4519467609907780,00;9164638300630090,00
12016;Ossidi di Azoto;æg/mü;1297;Spinadesco v.Battisti;48;08/02/2011;45150468869856800,00;9930596472272330,00
10483;PM10 (SM2005);æg/mü;1265;Lodi S.Alberto;76;03/08/2009;45302783503095800,00;9495273696926320,00
30160;Biossido di Azoto;æg/mü;655;Darfo Boario Terme v. De Amicis;221;13/12/2013;4587460210989040,00;1017735680898140,00
5601;Biossido di Azoto;æg/mü;598;San Rocco al Porto v.Matteotti;50;24/01/2002;45081986696978600,00;970078817718398,00
10077;PM10 (SM2005);æg/mü;694;Salionze v. Campagna Rossa;109;29/11/2006;4540331375821290,00;1072659797077940,00
5567;Biossido di Azoto;æg/mü;564;Erba v. Battisti;279;13/06/2009;45808573806923000,00;9221779204488440,00
6582;Ozono;æg/mü;561;Como v.Cattaneo;202;17/02/1991;4581504286011290,00;906697137484454,00
10491;PM10 (SM2005);æg/mü;681;Moggio Loc. Penscei;1194;31/03/2009;4591278752030290,00;9497538167653420,00
6959;PM10 (SM2005);æg/mü;565;Cant— v.Meucci;369;01/01/1999;4573083672267430,00;9125734327022930,00
5619;Biossido di Zolfo;æg/mü;544;Cormano v. Edison;153;26/10/1994;45551041944372400,00;9162613653151320,00
10131;Biossido di Azoto;æg/mü;700;Melara v. dell'Artigianato;12;28/11/2006;45063214361613300,00;1120921074969940,00
20155;PM10 (SM2005);æg/mü;690;Mezzana Bigli loc. Casoni;73;20/11/2013;45069658641385900,00;886888929943922,00
