denominazione,latitudine,longitudine,provincia
Bulgarograsso,45.7481481,9.0075,CO
Cabiate,45.6751666,9.1748518,CO
Cadorago,45.7262709,9.038025,CO
Caglio,45.8734629,9.2400185,CO
Cagno,45.812037,8.9184444,CO
Campione d'Italia,45.9693769,8.9706472,CO
Cantù,45.739505,9.129394,CO
Canzo,45.8507126,9.2742196,CO
Capiago Intimiano,45.773067,9.122753,CO
Carate Urio,45.8728333,9.1232962,CO
Carbonate,45.686023,8.936576,CO
Carimate,45.7039074,9.1117222,CO
Carlazzo,46.0491766,9.1592696,CO
Carugo,45.7095555,9.1979814,CO
Casasco d'Intelvi,45.9447037,9.0768888,CO
Caslino d'Erba,45.8397037,9.2325,CO
Casnate con Bernate,45.762179,9.0755218,CO
Cassina Rizzardi,45.7525827,9.0256282,CO
Castelmarte,45.8334629,9.2342407,CO
Castelnuovo Bozzente,45.7656481,8.9447037,CO
Castiglione d'Intelvi,45.9561111,9.0917222,CO
Cavallasca,45.8128079,9.032268,CO
Cavargna,46.09059,9.1127408,CO
Cerano d'Intelvi,45.9434736,9.0877042,CO
Cermenate,45.7039259,9.0870555,CO
Cernobbio,45.8409317,9.0762676,CO
Cirimido,45.7007962,9.0137777,CO
Civenna,45.9408026,9.2716331,CO
Claino con Osteno,46.0073553,9.0827773,CO
Colonno,45.9584258,9.1543859,CO
Como,45.8119642,9.0854556,CO
Consiglio di Rumo,46.1439074,9.2945555,CO
Corrido,46.0486111,9.1367407,CO
Cremia,46.0875185,9.2723703,CO
Cucciago,45.7403333,9.094074,CO
Cusino,46.0759629,9.1537592,CO
Dizzasco,45.9448703,9.1009629,CO
Domaso,46.1533852,9.3322789,CO
Dongo,46.1229865,9.2792045,CO
Dosso del Liro,46.1642922,9.2750238,CO
Drezzo,45.8162592,8.9959444,CO
Erba,45.8122114,9.2239792,CO
Eupilio,45.8190579,9.2709446,CO
Faggeto Lario,45.8598703,9.16,CO
Faloppio,45.8106296,8.9654814,CO
Fenegrò,45.7025,9.0007962,CO
Figino Serenza,45.7114074,9.1323703,CO
Fino Mornasco,45.7439259,9.0487592,CO
Garzeno,46.1346804,9.2442141,CO
Gera Lario,46.1720555,9.3687592,CO
Germasino,46.1362001,9.2643755,CO
Gironico,45.8011539,9.0033037,CO
Grandate,45.7737455,9.0623482,CO
Grandola ed Uniti,46.0259629,9.2139259,CO
Gravedona,46.1460409,9.3052032,CO
Griante,45.9945506,9.235051,CO
Guanzate,45.7275259,9.0219372,CO
Inverigo,45.7381296,9.2189259,CO
Laglio,45.8887777,9.1425,CO
Laino,45.9855303,9.0759022,CO
Lambrugo,45.7598703,9.2406296,CO
Lanzo d'Intelvi,45.9848518,9.0272037,CO
Lasnigo,45.8829814,9.2675,CO
Lenno,45.9739074,9.1920555,CO
Lezzeno,45.9457643,9.1902403,CO
Limido Comasco,45.6901666,8.9809444,CO
Lipomo,45.7939259,9.1214259,CO
Livo,46.1699196,9.3049949,CO
Locate Varesino,45.691463,8.930966,CO
Lomazzo,45.7001666,9.0354814,CO
Longone al Segrino,45.8153333,9.2525,CO
Luisago,45.7629919,9.0362868,CO
Lurago d'Erba,45.7528333,9.2209629,CO
Lurago Marinone,45.7067222,8.9825185,CO
Lurate Caccivio,45.7674778,9.0021587,CO
Magreglio,45.92016,9.2616808,CO
Mariano Comense,45.6973179,9.1786964,CO
Maslianico,45.8464909,9.0476097,CO
Menaggio,46.020776,9.2389377,CO
Merone,45.7881296,9.2451666,CO
Mezzegra,45.9827165,9.2063453,CO
Moltrasio,45.8609444,9.099537,CO
Monguzzo,45.7813044,9.2314242,CO
Montano Lucino,45.7849683,9.0432327,CO
Montemezzo,46.1798703,9.372037,CO
Montorfano,45.7862933,9.1460496,CO
Mozzate,45.6731296,8.9564259,CO
Musso,46.1122037,9.2757962,CO
